transactionDate,assetDescription,readyTime,readyTimeUOM,CO2eFactor,engineIdleAFC,dieselSavedVolume,dieselSavedVolumeUOM,dieselRate,dieselRateUOM,dieselSavedCost,CO2eReduction,CO2eReductionUOM,chargeAmount,currency
2022-06-03T00:00:00.000Z,Pump_12,10.2,hour,10.21 kg/gal,12.00 gal/hr,122.4,gal,5.73,USD / gal,664.63,1249.7,kg,231.56,USD
2022-06-03T00:00:00.000Z,Pump_13,6.5,hour,10.21 kg/gal,12.00 gal/hr,78,gal,5.73,USD / gal,432.12,796.38,kg,185.05,USD
2022-06-03T00:00:00.000Z,Pump_14,7.5,hour,10.21 kg/gal,12.00 gal/hr,90,gal,5.73,USD / gal,493.2,918.9,kg,197.27,USD
2022-06-03T00:00:00.000Z,Pump_15,7.3,hour,10.21 kg/gal,12.00 gal/hr,87.6,gal,5.73,USD / gal,490.56,894.4,kg,196.74,USD
2022-06-03T00:00:00.000Z,Pump_16,7.6,hour,10.21 kg/gal,12.00 gal/hr,91.2,gal,5.73,USD / gal,537.17,931.15,kg,206.06,USD
2022-06-03T00:00:00.000Z,Pump_17,4.9,hour,10.21 kg/gal,12.00 gal/hr,58.8,gal,5.73,USD / gal,333.98,600.35,kg,165.43,USD
2022-06-03T00:00:00.000Z,Pump_18,8.3,hour,10.21 kg/gal,12.00 gal/hr,99.6,gal,5.73,USD / gal,573.7,1016.92,kg,213.37,USD
2022-06-03T00:00:00.000Z,Pump_19,9.4,hour,10.21 kg/gal,12.00 gal/hr,112.8,gal,5.73,USD / gal,613.63,1151.69,kg,221.36,USD
2022-06-03T00:00:00.000Z,Pump_20,10.5,hour,10.21 kg/gal,12.00 gal/hr,126,gal,5.73,USD / gal,691.74,1286.46,kg,236.98,USD
2022-06-04T00:00:00.000Z,Pump_1,4.7,hour,10.21 kg/gal,15.06 gal/hr,70.78,gal,5.6,USD / gal,411.24,722.68,kg,180.88,USD
2022-06-04T00:00:00.000Z,Pump_2,6,hour,10.21 kg/gal,15.06 gal/hr,90.36,gal,5.6,USD / gal,491.56,922.58,kg,196.94,USD
2022-06-04T00:00:00.000Z,Pump_3,9.8,hour,10.21 kg/gal,15.06 gal/hr,147.59,gal,5.6,USD / gal,795.5,1506.87,kg,257.73,USD
2022-06-04T00:00:00.000Z,Pump_4,10.5,hour,10.21 kg/gal,15.06 gal/hr,158.13,gal,5.6,USD / gal,846,1614.51,kg,267.83,USD
2022-06-04T00:00:00.000Z,Pump_5,7.3,hour,10.21 kg/gal,15.06 gal/hr,109.94,gal,5.6,USD / gal,647.53,1122.47,kg,228.14,USD
2022-06-04T00:00:00.000Z,Pump_6,8.6,hour,10.21 kg/gal,15.06 gal/hr,129.52,gal,5.6,USD / gal,718.81,1322.36,kg,242.39,USD
2022-06-04T00:00:00.000Z,Pump_7,10.3,hour,10.21 kg/gal,15.06 gal/hr,155.12,gal,5.6,USD / gal,862.46,1583.75,kg,271.12,USD
2022-06-04T00:00:00.000Z,Pump_8,7.8,hour,10.21 kg/gal,15.06 gal/hr,117.47,gal,5.6,USD / gal,639.03,1199.35,kg,226.44,USD
2022-06-04T00:00:00.000Z,Pump_9,4.4,hour,10.21 kg/gal,15.06 gal/hr,66.26,gal,5.6,USD / gal,373.73,676.56,kg,173.38,USD
2022-06-04T00:00:00.000Z,Pump_10,6.9,hour,10.21 kg/gal,12.00 gal/hr,82.8,gal,5.6,USD / gal,467.82,845.39,kg,192.19,USD
2022-06-04T00:00:00.000Z,Pump_11,8.1,hour,10.21 kg/gal,12.00 gal/hr,97.2,gal,5.6,USD / gal,538.49,992.41,kg,206.33,USD
2022-06-04T00:00:00.000Z,Pump_12,10.1,hour,10.21 kg/gal,12.00 gal/hr,121.2,gal,5.6,USD / gal,670.24,1237.45,kg,232.68,USD
2022-06-04T00:00:00.000Z,Pump_13,6.8,hour,10.21 kg/gal,12.00 gal/hr,81.6,gal,5.6,USD / gal,453.7,833.14,kg,189.37,USD
2022-06-04T00:00:00.000Z,Pump_14,8,hour,10.21 kg/gal,12.00 gal/hr,96,gal,5.6,USD / gal,525.12,980.16,kg,203.65,USD
2022-06-04T00:00:00.000Z,Pump_15,9.7,hour,10.21 kg/gal,12.00 gal/hr,116.4,gal,5.6,USD / gal,629.72,1188.44,kg,224.57,USD
2022-06-04T00:00:00.000Z,Pump_16,8.2,hour,10.21 kg/gal,12.00 gal/hr,98.4,gal,5.6,USD / gal,550.06,1004.66,kg,208.64,USD
2022-06-04T00:00:00.000Z,Pump_17,9,hour,10.21 kg/gal,12.00 gal/hr,108,gal,5.6,USD / gal,611.28,1102.68,kg,220.89,USD
2022-06-04T00:00:00.000Z,Pump_18,7.3,hour,10.21 kg/gal,12.00 gal/hr,87.6,gal,5.6,USD / gal,478.3,894.4,kg,194.29,USD
